;Region;Sub-region;Country;ISO3 code;M49 code;RE or Non-RE;Group Technology;Technology;Sub-Technology;Producer Type;Year;Electricity Generation (GWh);Electricity Installed Capacity (MW)
21597;Americas;Latin America and the Caribbean;Brazil;BRA;76;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2021;16.752;14.492
21598;Americas;Latin America and the Caribbean;Brazil;BRA;76;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2022;30.126;25.513
22543;Americas;Latin America and the Caribbean;Chile;CHL;152;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2012;0;2
22544;Americas;Latin America and the Caribbean;Chile;CHL;152;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2013;8;12
22545;Americas;Latin America and the Caribbean;Chile;CHL;152;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2014;480;203
22546;Americas;Latin America and the Caribbean;Chile;CHL;152;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2015;1.262;546
22547;Americas;Latin America and the Caribbean;Chile;CHL;152;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2016;2.643;1.055
22548;Americas;Latin America and the Caribbean;Chile;CHL;152;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2017;3.927;1.841
22549;Americas;Latin America and the Caribbean;Chile;CHL;152;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2018;5.242;2.315
22550;Americas;Latin America and the Caribbean;Chile;CHL;152;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2019;6.465;2.715
22551;Americas;Latin America and the Caribbean;Chile;CHL;152;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2020;8.056;3.302
22552;Americas;Latin America and the Caribbean;Chile;CHL;152;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2021;10.545;4.515
22553;Americas;Latin America and the Caribbean;Chile;CHL;152;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2022;15.603;6.578
23042;Americas;Latin America and the Caribbean;Colombia;COL;170;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2017;5;10
23043;Americas;Latin America and the Caribbean;Colombia;COL;170;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2018;12;10
23044;Americas;Latin America and the Caribbean;Colombia;COL;170;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2019;133;18
23045;Americas;Latin America and the Caribbean;Colombia;COL;170;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2020;198;71
23046;Americas;Latin America and the Caribbean;Colombia;COL;170;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2021;344;159
23047;Americas;Latin America and the Caribbean;Colombia;COL;170;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2022;606;443
25313;Americas;Latin America and the Caribbean;Ecuador;ECU;218;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2013;3;3
25314;Americas;Latin America and the Caribbean;Ecuador;ECU;218;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2014;15;24
25315;Americas;Latin America and the Caribbean;Ecuador;ECU;218;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2015;33;24
25316;Americas;Latin America and the Caribbean;Ecuador;ECU;218;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2016;36;24
25317;Americas;Latin America and the Caribbean;Ecuador;ECU;218;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2017;34;24
25318;Americas;Latin America and the Caribbean;Ecuador;ECU;218;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2018;35;24
25319;Americas;Latin America and the Caribbean;Ecuador;ECU;218;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2019;33;24
